t,A,B,C,D,E,F,G,H,I,J,K
1,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0
21,1,0,0,0,0,0,0,0,0,0,0
22,1,0,0,0,0,0,0,0,0,0,0
23,1,0,0,0,0,0,0,0,0,0,0
24,1,0,0,0,0,0,0,0,0,0,0
25,1,0,0,0,0,0,0,0,0,0,0
26,1,0,0,0,0,0,0,0,0,0,0
27,1,0,0,0,0,0,0,0,0,0,0
28,1,0,0,0,0,0,0,0,0,0,0
29,1,0,1,0,1,0,1,0,0,0,0
30,1,0,1,0,1,0,1,0,0,0,0
31,1,0,1,0,1,0,1,0,0,0,0
32,1,0,1,0,1,0,1,0,0,0,0
33,1,0,1,0,1,0,1,0,0,0,0
34,1,0,1,0,1,0,1,0,0,0,0
35,1,0,1,0,1,0,1,0,0,0,0
36,1,0,1,0,1,0,1,0,0,0,0
37,1,0,1,0,1,0,1,0,1,1,0
38,1,0,1,0,1,0,1,0,1,1,0
39,1,0,1,0,1,0,1,0,1,1,0
40,1,0,1,0,1,0,1,0,1,1,0
41,1,0,1,0,1,0,1,0,1,1,0
42,1,0,1,0,1,0,1,0,1,1,0
43,1,0,1,0,1,0,1,0,1,1,0
44,1,0,1,0,1,0,1,0,1,1,0
45,1,0,1,0,1,0,1,0,1,0,0
46,1,0,1,0,1,0,1,0,1,0,0
47,1,0,1,0,0,1,1,0,1,0,0
48,1,0,1,0,0,1,1,0,1,0,0
49,1,0,1,0,0,1,1,0,1,0,0
50,1,0,1,0,0,1,1,0,1,0,0
51,1,0,1,0,0,1,1,0,1,0,0
52,1,0,1,0,0,1,1,0,1,0,0
53,1,0,1,0,0,1,1,0,1,0,0
54,1,0,1,0,0,1,1,0,1,0,0
55,1,0,1,0,0,1,1,0,1,0,0
56,0,1,1,0,0,1,1,0,1,0,0
57,0,1,1,0,0,1,1,0,1,0,1
58,0,1,1,0,0,1,1,0,1,0,1
59,0,1,1,0,0,1,1,0,1,0,1
60,0,1,1,0,0,1,1,0,1,0,1
61,0,1,1,0,0,1,1,0,1,0,1
62,0,1,1,0,0,1,1,0,1,0,1
63,0,1,1,0,0,1,1,0,1,0,1
64,0,1,0,1,0,1,0,1,1,0,1
65,0,1,0,1,0,1,0,1,1,0,0
66,0,1,0,1,0,1,0,1,1,0,0
67,0,1,0,1,0,1,0,1,1,0,0
68,0,1,0,1,0,1,0,1,1,0,0
69,0,1,0,1,0,1,0,1,1,0,0
70,0,1,0,1,0,1,0,1,1,0,0
71,0,1,0,1,0,1,0,1,1,0,0
72,0,1,0,1,0,1,0,1,0,0,0
73,0,1,0,1,0,1,0,1,0,0,0
74,0,1,0,1,0,1,0,1,0,0,0
75,0,1,0,1,0,1,0,1,0,0,0
76,0,1,0,1,0,1,0,1,0,0,0
77,0,1,0,1,0,1,0,1,0,0,0
78,0,1,0,1,0,1,0,1,0,0,0
79,0,1,0,1,0,1,0,1,0,0,0
80,0,1,0,1,0,1,0,1,0,0,0
81,0,1,0,1,0,1,0,1,0,0,0
82,0,1,0,0,0,0,0,0,0,0,0
83,0,1,0,0,0,0,0,0,0,0,0
84,0,1,0,0,0,0,0,0,0,0,0
85,0,1,0,0,0,0,0,0,0,0,0
86,0,1,0,0,0,0,0,0,0,0,0
87,0,1,0,0,0,0,0,0,0,0,0
88,0,1,0,0,0,0,0,0,0,0,0
89,0,1,0,0,0,0,0,0,0,0,0
90,0,1,0,0,0,0,0,0,0,0,0
91,0,0,0,0,0,0,0,0,0,0,0
92,0,0,0,0,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0,0,0,0,0
